len,k,p,num_of_chains,steps,delta_t,time,chain_e2e_avg_distance,msd,chain_center_of_mass_msd,tracking_monomer_0,tracking_monomer_msd_0,tracking_monomer_1,tracking_monomer_msd_1,tracking_monomer_2,tracking_monomer_msd_2
100,1000,100,500,500000,5e-05,2.12095,40.803374574864044,1737.1752414962748,0.08180855889427881,0,424.63598590144704,25,1.5219187400434684,50,1.5869816776993984
100,1000,100,500,500000,5e-05,2.14895,41.08143978128785,1759.8737388327788,0.08284126928978622,0,430.16812969076767,25,1.535884083219726,50,1.6146848082904974
100,1000,100,500,500000,5e-05,2.17735,41.366026619165005,1783.1070187034118,0.0836932343256343,0,436.2448057473919,25,1.541941768698799,50,1.6302510615171646
100,1000,100,500,500000,5e-05,2.2061,41.64237840324191,1805.6907168251198,0.0847366989489377,0,442.1922344434725,25,1.5546183326858392,50,1.6654784593893301
100,1000,100,500,500000,5e-05,2.23525,41.92954182648836,1829.5845049783163,0.08522305007374112,0,448.1385142390743,25,1.562207693003706,50,1.6676616045067432
100,1000,100,500,500000,5e-05,2.2647500000000003,42.21612485257,1853.6612897601997,0.08643567719720269,0,454.28834096325573,25,1.5634912386510185,50,1.6735988411121032
100,1000,100,500,500000,5e-05,2.2947,42.50974761899323,1878.4238315894722,0.08770681104602164,0,460.4908890709986,25,1.5619178378020189,50,1.6954501210501027
100,1000,100,500,500000,5e-05,2.325,42.80710483075258,1903.5613953691297,0.0887081586477554,0,466.85226279800236,25,1.5875865108053067,50,1.69778157851892
100,1000,100,500,500000,5e-05,2.3557,43.09504200390579,1928.0072629780034,0.08956058154540554,0,472.83811378068356,25,1.612484131229531,50,1.7142284861934514
100,1000,100,500,500000,5e-05,2.3868,43.38626953783001,1953.1227394327052,0.09034667378663296,0,479.439072443253,25,1.6556453698593678,50,1.7174973717531987
100,1000,100,500,500000,5e-05,2.41835,43.68004895828478,1978.5800019127657,0.09241139878630315,0,485.96832296239216,25,1.6697773091068853,50,1.731736522729076
